URL,Domain,TLD,IsDomainIP,IsHTTPS,HasFavicon,HasDescription,HasSubmitButton,HasPasswordField,HasHiddenFields,HasExternalFormSubmit,NoOfURLRedirect,NoOfSelfRedirect,Bank,Pay,Crypto,URLSimilarityIndex,DomainTitleMatchScore,URLTitleMatchScore,HasObfuscation,ObfuscationRatio,NoOfImage,NoOfJS,NoOfCSS,NoOfExternalRef,label
http://www.keller-bec.com,www.keller-bec.com,com,0,0,0,0,0,0,0,0,0,0,0,0,0,72.65306122,0.0,0.0,0,0.0,0,0,0,0,0
https://www.thesacredmiddle.com,www.thesacredmiddle.com,com,0,1,0,1,1,0,1,0,0,0,0,1,0,100.0,100.0,100.0,0,0.0,29,15,6,23,1
https://www.themotherhood.com,www.themotherhood.com,com,0,1,1,1,0,0,0,0,1,0,0,0,0,100.0,100.0,100.0,0,0.0,44,16,5,56,1
https://www.aicm.com.mx,www.aicm.com.mx,mx,0,1,0,1,1,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0,0.0,23,37,30,114,1
https://www.myqsafe.co.uk,www.myqsafe.co.uk,uk,0,1,1,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0,0.0,7,4,1,8,1
http://www.wizu.webd.pl,www.wizu.webd.pl,pl,0,0,0,0,0,0,0,0,0,0,0,0,0,82.05128205,0.0,0.0,0,0.0,0,0,0,1,0
https://www.retegui-marble.fr,www.retegui-marble.fr,fr,0,1,1,1,1,1,0,0,0,0,0,0,0,100.0,100.0,100.0,0,0.0,32,14,14,105,1
http://www.usawebproxy.com,www.usawebproxy.com,com,0,0,0,0,0,0,0,0,0,0,0,0,0,68.11111111,0.0,0.0,0,0.0,0,0,0,0,0
http://www.k.sdtsm.com,www.k.sdtsm.com,com,0,0,0,0,0,0,0,0,0,0,0,0,0,71.34986226,0.0,0.0,0,0.0,0,0,0,0,0
https://www.cumberlandlodge.ac.uk,www.cumberlandlodge.ac.uk,uk,0,1,1,1,1,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0,0.0,11,8,2,5,1
https://www.southwhidbeyrecord.com,www.southwhidbeyrecord.com,com,0,1,1,1,1,0,1,0,0,0,1,1,0,100.0,0.0,0.0,0,0.0,48,28,10,261,1
http://www.ftp.applemusic.wikaba.com,www.ftp.applemusic.wikaba.com,com,0,0,0,0,0,0,0,0,0,0,0,0,0,47.70833333,0.0,0.0,0,0.0,0,0,0,0,0
http://www.odd-mud-233e.gtech.workers.dev,www.odd-mud-233e.gtech.workers.dev,dev,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8844697,0.0,0.0,0,0.0,0,0,0,0,0
http://www.luciamangili.it/z1jkap/china.com/,www.luciamangili.it,it,0,0,0,0,0,0,0,0,0,0,0,0,0,37.86695076,0.0,0.0,0,0.0,0,0,0,0,0
https://www.roadsafetysweden.com,www.roadsafetysweden.com,com,0,1,1,1,1,0,1,0,0,0,0,0,0,100.0,100.0,100.0,0,0.0,22,5,4,3,1
http://www.larkbucket.oss-us-west-1.aliyuncs.com,www.larkbucket.oss-us-west-1.aliyuncs.com,com,0,0,0,0,0,0,0,0,0,0,0,0,0,49.57926829,0.0,0.0,0,0.0,0,0,0,0,0
https://www.wcpfc.int,www.wcpfc.int,int,0,1,1,0,1,0,1,0,0,0,0,0,0,100.0,100.0,100.0,0,0.0,3,7,9,17,1
https://sml-87gd.web.app/,sml-87gd.web.app,app,0,1,0,0,0,0,0,0,0,0,0,0,0,61.12132353,0.0,0.0,0,0.0,0,0,0,3,0
http://www.edjkpz.tokyo,www.edjkpz.tokyo,tokyo,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7991453,0.0,0.0,0,0.0,0,0,0,0,0
https://demo2.cloudwp.dev/trial-4z6549uz/wp-admin/1/de/,demo2.cloudwp.dev,dev,0,1,0,0,1,0,1,0,0,0,0,0,0,37.94795479,0.0,0.0,0,0.0,0,0,0,2,0
https://wsinghal.icu/nehemia3.php,wsinghal.icu,icu,0,1,0,0,0,0,0,0,0,0,0,0,0,32.91076923,0.0,0.0,0,0.0,0,0,0,1,0
https://www.elrodtimber.com,www.elrodtimber.com,com,0,1,0,1,1,1,1,0,0,0,1,1,0,100.0,100.0,100.0,0,0.0,64,19,2,9,1
https://www.dotgo.eu,www.dotgo.eu,eu,0,1,1,1,0,0,1,0,0,0,0,0,1,100.0,100.0,100.0,0,0.0,25,8,0,78,1
http://dcluwezhlr.poem4frpp.club/vnafvra97w/?q=3717065149&id=100,dcluwezhlr.poem4frpp.club,club,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3725921,0.0,0.0,0,0.0,0,0,0,0,0
https://www.handbellworld.com,www.handbellworld.com,com,0,1,1,1,1,0,1,0,0,0,0,0,0,100.0,100.0,100.0,0,0.0,50,14,3,26,1
http://www.phasdesign.com,www.phasdesign.com,com,0,0,0,0,0,0,0,0,0,0,0,0,0,84.62585034,100.0,100.0,0,0.0,4,5,1,0,0
https://www.byoglobe.com,www.byoglobe.com,com,0,1,0,1,1,0,0,0,0,0,0,0,0,100.0,100.0,100.0,0,0.0,24,19,9,38,1
https://shy-sun-3480.on-stg.fleek.co/,shy-sun-3480.on-stg.fleek.co,co,0,1,0,0,0,1,1,0,1,0,1,1,0,34.03884265,0.0,0.0,0,0.0,6,9,2,2,0
https://late-night-6dd7.eqskec1h5p.workers.dev/,late-night-6dd7.eqskec1h5p.workers.dev,dev,0,1,0,0,0,0,0,0,1,0,0,0,0,36.16023865,0.0,0.0,0,0.0,0,0,0,1,0
https://g8c2rk.webwave.dev/,g8c2rk.webwave.dev,dev,0,1,0,1,0,0,1,0,0,0,0,0,0,43.72969461,0.0,0.0,0,0.0,0,2,2,0,0
https://www.gemsofwar.com,www.gemsofwar.com,com,0,1,0,0,1,0,0,0,0,0,0,0,0,100.0,100.0,100.0,0,0.0,13,41,20,76,1
https://www.shippingtandy.com,www.shippingtandy.com,com,0,1,1,1,1,0,1,1,0,0,0,0,0,100.0,100.0,100.0,0,0.0,30,18,12,113,1
https://www.montereybaysolutions.com,www.montereybaysolutions.com,com,0,1,0,1,1,0,1,0,0,0,0,1,0,100.0,100.0,100.0,0,0.0,25,12,4,9,1
https://www.purelogicol.com,www.purelogicol.com,com,0,1,1,1,1,0,1,1,0,0,0,1,0,100.0,0.0,0.0,0,0.0,7,8,5,15,1
http://www.code.ws,www.code.ws,ws,0,0,0,0,0,0,0,0,0,0,0,0,0,76.53061224,0.0,0.0,0,0.0,0,0,0,0,0
https://www.binaryemotions.com,www.binaryemotions.com,com,0,1,0,0,1,1,1,0,0,0,0,0,0,100.0,100.0,100.0,0,0.0,13,11,14,56,1
https://varrock.click/wp-content/americanexpeess.com.apx/amexnew/verify-card.php,varrock.click,click,0,1,1,1,1,0,1,0,1,0,1,1,0,16.81041772,0.0,0.0,0,0.0,1,19,3,35,0
https://www.dla.mil,www.dla.mil,mil,0,1,1,0,0,0,1,0,0,0,0,0,0,100.0,100.0,100.0,0,0.0,27,10,5,66,1
https://www.nothangryanymore.com,www.nothangryanymore.com,com,0,1,1,1,1,0,1,1,0,0,0,0,0,100.0,100.0,100.0,0,0.0,24,33,26,114,1
http://zonaipc.com/usps/verification,zonaipc.com,com,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33452239,0.0,100.0,0,0.0,0,0,0,0,0
https://maildinshaakckjnw114.web.app/,maildinshaakckjnw114.web.app,app,0,1,0,0,0,0,0,0,0,0,0,0,0,36.68191414,0.0,0.0,0,0.0,0,0,0,3,0
https://www.discoverytours.com.my,www.discoverytours.com.my,my,0,1,0,0,1,0,1,0,1,0,0,0,0,100.0,0.0,0.0,0,0.0,27,10,11,39,1
